0.7838 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['PTB', 'sounddevice', 'pyo', 'pygame'] (in that order).
26.1621 	EXP 	image_stim: autoDraw = True
26.1621 	EXP 	text_stim: autoDraw = True
26.1621 	EXP 	button_left: autoDraw = True
26.1621 	EXP 	trial_label_left: autoDraw = True
26.1621 	EXP 	button_right: autoDraw = True
26.1621 	EXP 	trial_label_right: autoDraw = True
26.8608 	DATA 	Mouse: Left button down, pos=(1286,274)
26.8888 	EXP 	fixation: autoDraw = False
26.8888 	EXP 	image_stim: autoDraw = False
26.8888 	EXP 	text_stim: autoDraw = False
26.8888 	EXP 	button_left: autoDraw = False
26.8888 	EXP 	trial_label_left: autoDraw = False
26.8888 	EXP 	button_right: autoDraw = False
26.8888 	EXP 	trial_label_right: autoDraw = False
26.8888 	EXP 	feedback_msg: text = 'oops'
26.8888 	EXP 	feedback_msg: autoDraw = True
26.9548 	DATA 	Mouse:  Left button up, pos=(1286,274)
27.8672 	EXP 	New trial (rep=0, index=7): OrderedDict([('stimImage', 'stimuli/blank.png'), ('stimWord', 'Evil'), ('CorrAns', 'l')])
27.8929 	EXP 	feedback_msg: autoDraw = False
27.8929 	EXP 	image_stim: image = 'stimuli/blank.png'
27.8929 	EXP 	text_stim: text = 'Evil'
27.8929 	EXP 	trial_label_left: text = 'A = \nPositive'
27.8929 	EXP 	trial_label_right: text = 'L = \nNegative'
27.8929 	EXP 	fixation: autoDraw = True
28.3826 	EXP 	fixation: autoDraw = False
28.3826 	EXP 	image_stim: autoDraw = True
28.3826 	EXP 	text_stim: autoDraw = True
28.3826 	EXP 	button_left: autoDraw = True
28.3826 	EXP 	trial_label_left: autoDraw = True
28.3826 	EXP 	button_right: autoDraw = True
28.3826 	EXP 	trial_label_right: autoDraw = True
29.2666 	DATA 	Mouse: Left button down, pos=(1381,255)
29.2922 	EXP 	fixation: autoDraw = False
29.2922 	EXP 	image_stim: autoDraw = False
29.2922 	EXP 	text_stim: autoDraw = False
29.2922 	EXP 	button_left: autoDraw = False
29.2922 	EXP 	trial_label_left: autoDraw = False
29.2922 	EXP 	button_right: autoDraw = False
29.2922 	EXP 	trial_label_right: autoDraw = False
29.2922 	EXP 	feedback_msg: text = '+'
29.2922 	EXP 	feedback_msg: autoDraw = True
29.3572 	DATA 	Mouse:  Left button up, pos=(1381,255)
30.2887 	EXP 	New trial (rep=0, index=8): OrderedDict([('stimImage', 'stimuli/blank.png'), ('stimWord', 'Good'), ('CorrAns', 'a')])
30.3160 	EXP 	feedback_msg: autoDraw = False
30.3160 	EXP 	image_stim: image = 'stimuli/blank.png'
30.3160 	EXP 	text_stim: text = 'Good'
30.3160 	EXP 	trial_label_left: text = 'A = \nPositive'
30.3160 	EXP 	trial_label_right: text = 'L = \nNegative'
30.3160 	EXP 	fixation: autoDraw = True
30.7873 	EXP 	fixation: autoDraw = False
30.7873 	EXP 	image_stim: autoDraw = True
30.7873 	EXP 	text_stim: autoDraw = True
30.7873 	EXP 	button_left: autoDraw = True
30.7873 	EXP 	trial_label_left: autoDraw = True
30.7873 	EXP 	button_right: autoDraw = True
30.7873 	EXP 	trial_label_right: autoDraw = True
31.6015 	DATA 	Mouse: Left button down, pos=(676,233)
31.6256 	EXP 	fixation: autoDraw = False
31.6256 	EXP 	image_stim: autoDraw = False
31.6256 	EXP 	text_stim: autoDraw = False
31.6256 	EXP 	button_left: autoDraw = False
31.6256 	EXP 	trial_label_left: autoDraw = False
31.6256 	EXP 	button_right: autoDraw = False
31.6256 	EXP 	trial_label_right: autoDraw = False
31.6256 	EXP 	feedback_msg: text = '+'
31.6256 	EXP 	feedback_msg: autoDraw = True
31.6706 	DATA 	Mouse:  Left button up, pos=(676,233)
32.6167 	EXP 	New trial (rep=0, index=9): OrderedDict([('stimImage', 'stimuli/blank.png'), ('stimWord', 'Agony'), ('CorrAns', 'l')])
32.6409 	EXP 	feedback_msg: autoDraw = False
32.6409 	EXP 	image_stim: image = 'stimuli/blank.png'
32.6409 	EXP 	text_stim: text = 'Agony'
32.6409 	EXP 	trial_label_left: text = 'A = \nPositive'
32.6409 	EXP 	trial_label_right: text = 'L = \nNegative'
32.6409 	EXP 	fixation: autoDraw = True
33.1292 	EXP 	fixation: autoDraw = False
33.1292 	EXP 	image_stim: autoDraw = True
33.1292 	EXP 	text_stim: autoDraw = True
33.1292 	EXP 	button_left: autoDraw = True
33.1292 	EXP 	trial_label_left: autoDraw = True
33.1292 	EXP 	button_right: autoDraw = True
33.1292 	EXP 	trial_label_right: autoDraw = True
